alpha_deg,case,x,y,objective,objective_per_scalar,residual_rms,worker
75.0,center,1.0,0.0,7.236024090736802,0.7236024090736801,1.2029982619053778,5
75.0,off_center,1.0,-1.0,0.8178398716746377,0.08178398716746377,0.40443537720497147,5
76.0,center,1.0,0.0,7.178737337819463,0.7178737337819463,1.1982268013877393,5
76.0,off_center,1.0,-1.0,0.9903721758750831,0.0990372175875083,0.4450555416743135,5
77.0,center,1.0,0.0,7.669090984869262,0.7669090984869262,1.2384741406157225,5
77.0,off_center,1.0,-1.0,1.148782950856475,0.11487829508564751,0.47932931286464736,5
78.0,center,1.0,0.0,8.541495285458984,0.8541495285458984,1.3070191494740224,5
78.0,off_center,1.0,-1.0,1.2742811447868156,0.12742811447868158,0.5048328723026693,5
79.0,center,1.0,0.0,9.208553041611024,0.9208553041611024,1.3570963887367047,5
79.0,off_center,1.0,-1.0,1.309316994422653,0.1309316994422653,0.5117259021043693,5
80.0,center,1.0,0.0,10.827853323784243,1.0827853323784242,1.471587803957633,5
80.0,off_center,1.0,-1.0,1.1996889524528132,0.11996889524528132,0.4898344521270045,5
