alpha_deg,case,n_sensors,n_times,n_scalar,objective,objective_per_scalar,residual_rms,worker
75.0,Ns5,5,5,50,19.55606196319038,0.3911212392638076,0.8844447289274866,9
76.0,Ns1,1,5,10,7.178737337819463,0.7178737337819463,1.1982268013877393,9
76.0,Ns2,2,5,20,10.85282426036443,0.5426412130182215,1.041768892814737,9
76.0,Ns3,3,5,30,18.031561598183888,0.6010520532727963,1.0964050832359327,9
76.0,Ns5,5,5,50,22.839102509478494,0.45678205018956985,0.9558054720387092,9
77.0,Ns1,1,5,10,7.669090984869262,0.7669090984869262,1.2384741406157225,9
77.0,Ns2,2,5,20,13.336883209358188,0.6668441604679094,1.1548542422902637,9
77.0,Ns3,3,5,30,21.005974194227445,0.7001991398075815,1.1833842485072898,9
77.0,Ns5,5,5,50,26.857167687008783,0.5371433537401756,1.0364780303896226,9
78.0,Ns1,1,5,10,8.541495285458984,0.8541495285458984,1.3070191494740224,9
78.0,Ns2,2,5,20,14.65150343566417,0.7325751717832085,1.2104339484525444,9
78.0,Ns3,3,5,30,23.192998721123153,0.7730999573707718,1.243462872281092,9
78.0,Ns5,5,5,50,29.724075219458314,0.5944815043891662,1.0903958037237362,9
79.0,Ns1,1,5,10,9.208553041611024,0.9208553041611024,1.3570963887367047,9
79.0,Ns2,2,5,20,15.723894391696792,0.7861947195848396,1.2539495361336035,9
79.0,Ns3,3,5,30,24.932447433307814,0.8310815811102604,1.28924906911757,9
79.0,Ns5,5,5,50,31.776472187382325,0.6355294437476465,1.127412474427746,9
80.0,Ns1,1,5,10,10.827853323784243,1.0827853323784242,1.471587803957633,10
80.0,Ns2,2,5,20,17.163496008902193,0.8581748004451096,1.3100952640515189,10
80.0,Ns3,3,5,30,27.991349332686436,0.9330449777562145,1.3660490311524067,10
80.0,Ns5,5,5,50,34.729158139638564,0.6945831627927713,1.178629002521804,10
81.0,Ns1,1,5,10,9.607496719312143,0.9607496719312143,1.3861815695869097,10
81.0,Ns2,2,5,20,14.908761919851152,0.7454380959925576,1.2210144110472714,10
81.0,Ns3,3,5,30,24.516258639163297,0.8172086213054433,1.2784432887738457,10
81.0,Ns5,5,5,50,30.134378289721973,0.6026875657944395,1.0978957744653537,10
82.0,Ns1,1,5,10,5.824877533581829,0.5824877533581829,1.079340310891966,10
82.0,Ns2,2,5,20,7.530797732423288,0.3765398866211644,0.867801690043485,10
82.0,Ns3,3,5,30,13.355675266005118,0.44518917553350396,0.9435986175631077,10
82.0,Ns5,5,5,50,15.696969733471343,0.3139393946694269,0.7923880295277395,10
83.0,Ns1,1,5,10,0.523072105187671,0.0523072105187671,0.32344152645808205,10
83.0,Ns2,2,5,20,0.956314987568705,0.04781574937843525,0.30924342960986334,10
83.0,Ns3,3,5,30,1.4793870927563761,0.049312903091879204,0.31404745848957033,10
83.0,Ns5,5,5,50,1.9085788274375115,0.03817157654875023,0.2763026476483721,10
84.0,Ns1,1,5,10,1.718299699707074,0.1718299699707074,0.5862251614707568,10
84.0,Ns2,2,5,20,2.202143909291882,0.1101071954645941,0.4692700618292075,10
84.0,Ns3,3,5,30,3.9204436089989567,0.13068145363329856,0.5112366450740764,10
84.0,Ns5,5,5,50,4.440385863820325,0.08880771727640649,0.42144446200278035,10
85.0,Ns1,1,5,10,3.5438209695359224,0.35438209695359224,0.8418813419402906,10
85.0,Ns2,2,5,20,4.691451869435212,0.23457259347176057,0.684941739816987,10
85.0,Ns3,3,5,30,8.235272838971134,0.27450909463237116,0.7409576163754188,10
85.0,Ns5,5,5,50,9.678428434104339,0.19356856868208677,0.6222034533528189,10
